Q,Date,Area of residence,Mode of transport to enter Canada,Visit statistics
1134,1/1/2019,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
942,1/1/2020,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
,1/1/2021,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
,1/1/2022,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
754,1/1/2023,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
791,1/1/2024,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
850,1/1/2025,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
1159,4/1/2019,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
,4/1/2020,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
,4/1/2021,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
,4/1/2022,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
1115,4/1/2023,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
1291,4/1/2024,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
1194,4/1/2025,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
1274,7/1/2019,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
,7/1/2020,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
,7/1/2021,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
,7/1/2022,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
1647,7/1/2023,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
1339,7/1/2024,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
1505,7/1/2025,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
797,10/1/2019,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
,10/1/2020,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
,10/1/2021,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
,10/1/2022,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
1318,10/1/2023,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
1340,10/1/2024,Non-resident visitors to Canada,Entries via commercial air,Expenditures per visit 4 6
586,1/1/2019,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
575,1/1/2020,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
,1/1/2021,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
,1/1/2022,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
1083,1/1/2023,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
1188,1/1/2024,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
974,1/1/2025,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
995,4/1/2019,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
,4/1/2020,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
,4/1/2021,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
,4/1/2022,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
1133,4/1/2023,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
1487,4/1/2024,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
1361,4/1/2025,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
1366,7/1/2019,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
,7/1/2020,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
,7/1/2021,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
,7/1/2022,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
1460,7/1/2023,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
1486,7/1/2024,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
1755,7/1/2025,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
897,10/1/2019,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
,10/1/2020,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
,10/1/2021,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
,10/1/2022,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
949,10/1/2023,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
783,10/1/2024,United States of America residents,Entries via commercial air,Expenditures per visit 4 6
1722,1/1/2019,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
1124,1/1/2020,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
,1/1/2021,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
,1/1/2022,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
623,1/1/2023,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
592,1/1/2024,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
738,1/1/2025,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
1293,4/1/2019,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
,4/1/2020,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
,4/1/2021,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
,4/1/2022,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
1102,4/1/2023,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
1165,4/1/2024,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
1085,4/1/2025,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
1193,7/1/2019,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
,7/1/2020,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
,7/1/2021,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
,7/1/2022,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
1861,7/1/2023,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
1174,7/1/2024,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
1277,7/1/2025,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
711,10/1/2019,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
,10/1/2020,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
,10/1/2021,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
,10/1/2022,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
1757,10/1/2023,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
1605,10/1/2024,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
