Mode of entry,Month/Year,Visitor Origin,Country,Number of Visitors (Rounded to nearest hundred)
Air,9/1/2025,Pacific,United States,2600
Air,9/1/2025,Mountain,United States,1200
Air,9/1/2025,West South Central,United States,800
Air,9/1/2025,East South Central,United States,400
Air,9/1/2025,South Atlantic,United States,2900
Air,9/1/2025,Germany,Overseas,3000
Air,9/1/2025,West North Central,United States,1200
Air,9/1/2025,East North Central,United States,1600
Air,9/1/2025,Middle Atlantic,United States,3600
Air,9/1/2025,New England (inc Maine),United States,900
Air,9/1/2025,Western Canada,Canada,30500
Air,9/1/2025,Ontario,Canada,42000
Air,9/1/2025,Quebec,Canada,2000
Air,9/1/2025,Other Europe,Overseas,2400
Air,9/1/2025,Other Overseas,Overseas,2000
Air,9/1/2025,United Kingdom,Overseas,4600
Air,9/1/2025,Atlantic Canada,Canada,6800
Air,8/1/2025,Quebec,Canada,2700
Air,8/1/2025,Atlantic Canada,Canada,3800
Air,8/1/2025,Other Overseas,Overseas,3500
Air,8/1/2025,Other Europe,Overseas,6500
Air,8/1/2025,Germany,Overseas,5300
Air,8/1/2025,United Kingdom,Overseas,4600
Air,8/1/2025,Pacific,United States,2500
Air,8/1/2025,Mountain,United States,1400
Air,8/1/2025,West South Central,United States,1900
Air,8/1/2025,East South Central,United States,700
Air,8/1/2025,South Atlantic,United States,4500
Air,8/1/2025,West North Central,United States,500
Air,8/1/2025,East North Central,United States,1800
Air,8/1/2025,Middle Atlantic,United States,3300
Air,8/1/2025,New England (inc Maine),United States,1800
Air,8/1/2025,Western Canada,Canada,38200
Air,8/1/2025,Ontario,Canada,63100
Air,7/1/2025,Other Overseas,Overseas,4400
Air,7/1/2025,Other Europe,Overseas,4200
Air,7/1/2025,Germany,Overseas,1600
Air,7/1/2025,United Kingdom,Overseas,4800
Air,7/1/2025,Pacific,United States,1800
Air,7/1/2025,Mountain,United States,1400
Air,7/1/2025,West South Central,United States,1100
Air,7/1/2025,East South Central,United States,800
Air,7/1/2025,South Atlantic,United States,6300
Air,7/1/2025,West North Central,United States,800
Air,7/1/2025,East North Central,United States,2700
Air,7/1/2025,Middle Atlantic,United States,3400
Air,7/1/2025,New England (inc Maine),United States,2200
Air,7/1/2025,Western Canada,Canada,32100
Air,7/1/2025,Ontario,Canada,45600
Air,7/1/2025,Quebec,Canada,3400
Air,7/1/2025,Atlantic Canada,Canada,8600
Air,6/1/2025,Atlantic Canada,Canada,6300
Air,6/1/2025,Other Overseas,Overseas,2200
Air,6/1/2025,Other Europe,Overseas,1700
Air,6/1/2025,Germany,Overseas,1100
Air,6/1/2025,United Kingdom,Overseas,2900
Air,6/1/2025,Pacific,United States,1100
Air,6/1/2025,Mountain,United States,1600
Air,6/1/2025,West South Central,United States,1000
Air,6/1/2025,East South Central,United States,500
Air,6/1/2025,South Atlantic,United States,2400
Air,6/1/2025,West North Central,United States,700
Air,6/1/2025,East North Central,United States,1200
Air,6/1/2025,Middle Atlantic,United States,1800
Air,6/1/2025,New England (inc Maine),United States,1100
Air,6/1/2025,Western Canada,Canada,21100
Air,6/1/2025,Ontario,Canada,32100
Air,6/1/2025,Quebec,Canada,3600
Air,5/1/2025,New England (inc Maine),United States,800
Air,5/1/2025,Other Overseas,Overseas,1000
Air,5/1/2025,Other Europe,Overseas,300
Air,5/1/2025,Germany,Overseas,400
Air,5/1/2025,United Kingdom,Overseas,1500
Air,5/1/2025,Pacific,United States,600
Air,5/1/2025,Mountain,United States,600
Air,5/1/2025,West South Central,United States,400
Air,5/1/2025,East South Central,United States,100
Air,5/1/2025,South Atlantic,United States,1000
Air,5/1/2025,West North Central,United States,0
Air,5/1/2025,East North Central,United States,100
Air,5/1/2025,Middle Atlantic,United States,900
Air,5/1/2025,Western Canada,Canada,10400
Air,5/1/2025,Ontario,Canada,23700
Air,5/1/2025,Quebec,Canada,2400
Air,5/1/2025,Atlantic Canada,Canada,6100
Air,4/1/2025,Ontario,Canada,18500
Air,4/1/2025,Atlantic Canada,Canada,4600
Air,4/1/2025,Other Overseas,Overseas,600
Air,4/1/2025,Other Europe,Overseas,900
Air,4/1/2025,Germany,Overseas,300
Air,4/1/2025,United Kingdom,Overseas,1100
Air,4/1/2025,Pacific,United States,100
Air,4/1/2025,Mountain,United States,0
Air,4/1/2025,West South Central,United States,200
Air,4/1/2025,East South Central,United States,0
Air,4/1/2025,South Atlantic,United States,400
Air,4/1/2025,West North Central,United States,100
Air,4/1/2025,East North Central,United States,200
Air,4/1/2025,Quebec,Canada,1800
Air,4/1/2025,Middle Atlantic,United States,300
Air,4/1/2025,New England (inc Maine),United States,400
Air,4/1/2025,Western Canada,Canada,7000
Air,3/1/2025,Atlantic Canada,Canada,4400
Air,3/1/2025,Other Overseas,Overseas,800
Air,3/1/2025,Other Europe,Overseas,400
Air,3/1/2025,Germany,Overseas,100
Air,3/1/2025,United Kingdom,Overseas,500
Air,3/1/2025,Pacific,United States,100
Air,3/1/2025,Mountain,United States,100
Air,3/1/2025,West South Central,United States,0
Air,3/1/2025,East South Central,United States,0
Air,3/1/2025,South Atlantic,United States,300
Air,3/1/2025,West North Central,United States,100
Air,3/1/2025,East North Central,United States,300
Air,3/1/2025,Middle Atlantic,United States,300
Air,3/1/2025,New England (inc Maine),United States,200
Air,3/1/2025,Western Canada,Canada,3500
Air,3/1/2025,Ontario,Canada,15200
Air,3/1/2025,Quebec,Canada,2400
Air,2/1/2025,Atlantic Canada,Canada,4400
Air,2/1/2025,Other Overseas,Overseas,600
Air,2/1/2025,Other Europe,Overseas,500
Air,2/1/2025,Germany,Overseas,100
Air,2/1/2025,United Kingdom,Overseas,1000
Air,2/1/2025,Pacific,United States,300
Air,2/1/2025,Mountain,United States,100
Air,2/1/2025,West South Central,United States,100
Air,2/1/2025,East South Central,United States,100
Air,2/1/2025,South Atlantic,United States,900
Air,2/1/2025,West North Central,United States,0
Air,2/1/2025,East North Central,United States,200
Air,2/1/2025,Middle Atlantic,United States,400
Air,2/1/2025,New England (inc Maine),United States,500
Air,2/1/2025,Western Canada,Canada,2700
Air,2/1/2025,Ontario,Canada,10200
Air,2/1/2025,Quebec,Canada,1500
Air,1/1/2025,Other Overseas,Overseas,2100
Air,1/1/2025,Other Europe,Overseas,1100
Air,1/1/2025,Germany,Overseas,300
Air,1/1/2025,United Kingdom,Overseas,2100
Air,1/1/2025,Pacific,United States,300
Air,1/1/2025,Mountain,United States,200
Air,1/1/2025,West South Central,United States,300
Air,1/1/2025,East South Central,United States,100
Air,1/1/2025,South Atlantic,United States,900
Air,1/1/2025,West North Central,United States,0
Air,1/1/2025,East North Central,United States,300
Air,1/1/2025,Middle Atlantic,United States,500
Air,1/1/2025,New England (inc Maine),United States,500
Air,1/1/2025,Western Canada,Canada,5700
Air,1/1/2025,Ontario,Canada,17700
Air,1/1/2025,Quebec,Canada,3100
Air,1/1/2025,Atlantic Canada,Canada,4900
Air,12/1/2024,United Kingdom,Overseas,1000
Air,12/1/2024,Other Overseas,Overseas,500
Air,12/1/2024,Other Europe,Overseas,500
Air,12/1/2024,Germany,Overseas,200
Air,12/1/2024,Pacific,United States,600
Air,12/1/2024,Mountain,United States,0
Air,12/1/2024,West South Central,United States,100
Air,12/1/2024,East South Central,United States,0
Air,12/1/2024,South Atlantic,United States,600
Air,12/1/2024,West North Central,United States,0
Air,12/1/2024,East North Central,United States,100
Air,12/1/2024,Middle Atlantic,United States,200
Air,12/1/2024,New England (inc Maine),United States,500
Air,12/1/2024,Western Canada,Canada,4100
Air,12/1/2024,Ontario,Canada,19100
Air,12/1/2024,Quebec,Canada,2400
Air,12/1/2024,Atlantic Canada,Canada,3700
Air,11/1/2024,Ontario,Canada,18300
Air,11/1/2024,Atlantic Canada,Canada,5600
Air,11/1/2024,Other Overseas,Overseas,400
Air,11/1/2024,Other Europe,Overseas,200
Air,11/1/2024,Quebec,Canada,1600
Air,11/1/2024,Germany,Overseas,600
Air,11/1/2024,United Kingdom,Overseas,1500
Air,11/1/2024,Pacific,United States,500
Air,11/1/2024,Mountain,United States,200
Air,11/1/2024,West South Central,United States,200
Air,11/1/2024,East South Central,United States,300
Air,11/1/2024,South Atlantic,United States,600
Air,11/1/2024,West North Central,United States,100
Air,11/1/2024,East North Central,United States,600
Air,11/1/2024,Middle Atlantic,United States,500
Air,11/1/2024,New England (inc Maine),United States,300
Air,11/1/2024,Western Canada,Canada,7700
Air,10/1/2024,Other Overseas,Overseas,2100
Air,10/1/2024,Other Europe,Overseas,800
Air,10/1/2024,Germany,Overseas,1900
Air,10/1/2024,United Kingdom,Overseas,5100
Air,10/1/2024,Pacific,United States,1300
Air,10/1/2024,Mountain,United States,700
Air,10/1/2024,West South Central,United States,1100
Air,10/1/2024,East South Central,United States,500
Air,10/1/2024,South Atlantic,United States,2900
Air,10/1/2024,West North Central,United States,300
Air,10/1/2024,East North Central,United States,1400
Air,10/1/2024,Middle Atlantic,United States,2900
Air,10/1/2024,New England (inc Maine),United States,600
Air,10/1/2024,Western Canada,Canada,21700
Air,10/1/2024,Ontario,Canada,34400
Air,10/1/2024,Quebec,Canada,3500
Air,10/1/2024,Atlantic Canada,Canada,7300
Air,9/1/2024,Atlantic Canada,Canada,4200
Air,9/1/2024,Other Overseas,Overseas,1800
Air,9/1/2024,Other Europe,Overseas,3400
Air,9/1/2024,Germany,Overseas,3200
Air,9/1/2024,United Kingdom,Overseas,4100
Air,9/1/2024,Pacific,United States,2100
Air,9/1/2024,Mountain,United States,1300
Air,9/1/2024,West South Central,United States,1000
Air,9/1/2024,East South Central,United States,300
Air,9/1/2024,South Atlantic,United States,3100
Air,9/1/2024,West North Central,United States,700
Air,9/1/2024,East North Central,United States,1900
Air,9/1/2024,Middle Atlantic,United States,2700
Air,9/1/2024,New England (inc Maine),United States,1300
Air,9/1/2024,Western Canada,Canada,24200
Air,9/1/2024,Ontario,Canada,36700
Air,9/1/2024,Quebec,Canada,3600
Air,8/1/2024,Mountain,United States,1900
Air,8/1/2024,Other Overseas,Overseas,4300
Air,8/1/2024,Other Europe,Overseas,4000
Air,8/1/2024,Germany,Overseas,3400
Air,8/1/2024,United Kingdom,Overseas,6900
Air,8/1/2024,Pacific,United States,3000
Air,8/1/2024,West South Central,United States,1600
Air,8/1/2024,East South Central,United States,400
Air,8/1/2024,South Atlantic,United States,4100
Air,8/1/2024,West North Central,United States,700
Air,8/1/2024,East North Central,United States,2000
Air,8/1/2024,Middle Atlantic,United States,4800
Air,8/1/2024,New England (inc Maine),United States,1700
Air,8/1/2024,Western Canada,Canada,40300
Air,8/1/2024,Ontario,Canada,56900
Air,8/1/2024,Quebec,Canada,4300
Air,8/1/2024,Atlantic Canada,Canada,6300
Air,7/1/2024,United Kingdom,Overseas,6300
Air,7/1/2024,Other Overseas,Overseas,2300
Air,7/1/2024,Other Europe,Overseas,3800
Air,7/1/2024,Germany,Overseas,2900
Air,7/1/2024,Pacific,United States,2900
Air,7/1/2024,Mountain,United States,1200
Air,7/1/2024,West South Central,United States,1700
Air,7/1/2024,East South Central,United States,400
Air,7/1/2024,South Atlantic,United States,4700
Air,7/1/2024,West North Central,United States,800
Air,7/1/2024,East North Central,United States,1500
Air,7/1/2024,Middle Atlantic,United States,2900
Air,7/1/2024,New England (inc Maine),United States,1400
Air,7/1/2024,Western Canada,Canada,28000
Air,7/1/2024,Ontario,Canada,43300
Air,7/1/2024,Quebec,Canada,2100
Air,7/1/2024,Atlantic Canada,Canada,4600
Air,6/1/2024,Western Canada,Canada,20600
Air,6/1/2024,Atlantic Canada,Canada,6500
Air,6/1/2024,Other Overseas,Overseas,2600
Air,6/1/2024,Other Europe,Overseas,2600
Air,6/1/2024,Ontario,Canada,42900
Air,6/1/2024,Germany,Overseas,2600
Air,6/1/2024,United Kingdom,Overseas,1200
Air,6/1/2024,Quebec,Canada,4200
Air,6/1/2024,Pacific,United States,1800
Air,6/1/2024,Mountain,United States,600
Air,6/1/2024,West South Central,United States,500
Air,6/1/2024,East South Central,United States,100
Air,6/1/2024,South Atlantic,United States,3600
Air,6/1/2024,West North Central,United States,400
Air,6/1/2024,East North Central,United States,800
Air,6/1/2024,Middle Atlantic,United States,2100
Air,6/1/2024,New England (inc Maine),United States,1200
Air,5/1/2024,Other Overseas,Overseas,1000
Air,5/1/2024,Other Europe,Overseas,1000
Air,5/1/2024,Germany,Overseas,1000
Air,5/1/2024,United Kingdom,Overseas,1000
Air,5/1/2024,Pacific,United States,800
Air,5/1/2024,Mountain,United States,100
Air,5/1/2024,West South Central,United States,300
Air,5/1/2024,East South Central,United States,0
Air,5/1/2024,South Atlantic,United States,600
Air,5/1/2024,West North Central,United States,300
Air,5/1/2024,East North Central,United States,200
Air,5/1/2024,Middle Atlantic,United States,1000
Air,5/1/2024,New England (inc Maine),United States,500
Air,5/1/2024,Western Canada,Canada,18600
Air,5/1/2024,Ontario,Canada,28800
Air,5/1/2024,Quebec,Canada,2300
Air,5/1/2024,Atlantic Canada,Canada,6800
Air,4/1/2024,Other Overseas,Overseas,700
Air,4/1/2024,Other Europe,Overseas,500
Air,4/1/2024,Germany,Overseas,400
Air,4/1/2024,United Kingdom,Overseas,1500
Air,4/1/2024,Pacific,United States,200
Air,4/1/2024,Mountain,United States,0
Air,4/1/2024,West South Central,United States,400
Air,4/1/2024,East South Central,United States,100
Air,4/1/2024,South Atlantic,United States,500
Air,4/1/2024,West North Central,United States,100
Air,4/1/2024,East North Central,United States,200
Air,4/1/2024,Middle Atlantic,United States,300
Air,4/1/2024,New England (inc Maine),United States,300
Air,4/1/2024,Western Canada,Canada,8900
Air,4/1/2024,Ontario,Canada,20100
Air,4/1/2024,Quebec,Canada,2200
Air,4/1/2024,Atlantic Canada,Canada,3300
Air,3/1/2024,East South Central,United States,0
Air,3/1/2024,South Atlantic,United States,300
Air,3/1/2024,West North Central,United States,200
Air,3/1/2024,East North Central,United States,400
Air,3/1/2024,Middle Atlantic,United States,400
Air,3/1/2024,New England (inc Maine),United States,400
Air,3/1/2024,Western Canada,Canada,2900
Air,3/1/2024,Ontario,Canada,14700
Air,3/1/2024,Other Overseas,Overseas,1300
Air,3/1/2024,Other Europe,Overseas,700
Air,3/1/2024,Germany,Overseas,100
Air,3/1/2024,United Kingdom,Overseas,400
Air,3/1/2024,Pacific,United States,100
Air,3/1/2024,Mountain,United States,100
Air,3/1/2024,West South Central,United States,100
Air,3/1/2024,Quebec,Canada,2300
Air,3/1/2024,Atlantic Canada,Canada,3500
Air,2/1/2024,Quebec,Canada,2000
Air,2/1/2024,Other Overseas,Overseas,1300
Air,2/1/2024,Other Europe,Overseas,700
Air,2/1/2024,Germany,Overseas,100
Air,2/1/2024,United Kingdom,Overseas,400
Air,2/1/2024,Pacific,United States,400
Air,2/1/2024,Mountain,United States,0
Air,2/1/2024,West South Central,United States,100
Air,2/1/2024,East South Central,United States,0
Air,2/1/2024,South Atlantic,United States,500
Air,2/1/2024,West North Central,United States,0
Air,2/1/2024,East North Central,United States,100
Air,2/1/2024,Middle Atlantic,United States,300
Air,2/1/2024,New England (inc Maine),United States,200
Air,2/1/2024,Western Canada,Canada,2200
Air,2/1/2024,Atlantic Canada,Canada,2600
Air,2/1/2024,Ontario,Canada,11400
Air,1/1/2024,Pacific,United States,200
Air,1/1/2024,Other Overseas,Overseas,1600
Air,1/1/2024,Other Europe,Overseas,300
Air,1/1/2024,Germany,Overseas,300
Air,1/1/2024,United Kingdom,Overseas,800
Air,1/1/2024,Mountain,United States,200
Air,1/1/2024,West South Central,United States,100
Air,1/1/2024,East South Central,United States,100
Air,1/1/2024,South Atlantic,United States,900
Air,1/1/2024,West North Central,United States,0
Air,1/1/2024,East North Central,United States,300
Air,1/1/2024,Middle Atlantic,United States,500
Air,1/1/2024,New England (inc Maine),United States,500
Air,1/1/2024,Western Canada,Canada,4400
Air,1/1/2024,Ontario,Canada,16400
Air,1/1/2024,Quebec,Canada,2800
Air,1/1/2024,Atlantic Canada,Canada,2900
Air,12/1/2023,Atlantic Canada,Canada,3800
Air,12/1/2023,Other Overseas,Overseas,400
Air,12/1/2023,Other Europe,Overseas,200
Air,12/1/2023,Germany,Overseas,0
Air,12/1/2023,United Kingdom,Overseas,200
Air,12/1/2023,Pacific,United States,200
Air,12/1/2023,Mountain,United States,100
Air,12/1/2023,West South Central,United States,200
Air,12/1/2023,East South Central,United States,300
Air,12/1/2023,South Atlantic,United States,200
Air,12/1/2023,West North Central,United States,200
Air,12/1/2023,East North Central,United States,0
Air,12/1/2023,Middle Atlantic,United States,300
Air,12/1/2023,New England (inc Maine),United States,300
Air,12/1/2023,Western Canada,Canada,3600
Air,12/1/2023,Ontario,Canada,14600
Air,12/1/2023,Quebec,Canada,2700
Air,11/1/2023,New England (inc Maine),United States,300
Air,11/1/2023,Other Overseas,Overseas,1200
Air,11/1/2023,Other Europe,Overseas,400
Air,11/1/2023,Germany,Overseas,400
Air,11/1/2023,United Kingdom,Overseas,200
Air,11/1/2023,Pacific,United States,600
Air,11/1/2023,Mountain,United States,0
Air,11/1/2023,West South Central,United States,200
Air,11/1/2023,East South Central,United States,100
Air,11/1/2023,South Atlantic,United States,300
Air,11/1/2023,West North Central,United States,100
Air,11/1/2023,East North Central,United States,300
Air,11/1/2023,Middle Atlantic,United States,500
Air,11/1/2023,Western Canada,Canada,8500
Air,11/1/2023,Ontario,Canada,20100
Air,11/1/2023,Quebec,Canada,2400
Air,11/1/2023,Atlantic Canada,Canada,5300
Air,10/1/2023,Ontario,Canada,30400
Air,10/1/2023,Other Overseas,Overseas,2100
Air,10/1/2023,Other Europe,Overseas,2400
Air,10/1/2023,Germany,Overseas,900
Air,10/1/2023,United Kingdom,Overseas,3700
Air,10/1/2023,Atlantic Canada,Canada,5300
Air,10/1/2023,Pacific,United States,700
Air,10/1/2023,Mountain,United States,600
Air,10/1/2023,West South Central,United States,400
Air,10/1/2023,East South Central,United States,100
Air,10/1/2023,South Atlantic,United States,1500
Air,10/1/2023,West North Central,United States,800
Air,10/1/2023,East North Central,United States,900
Air,10/1/2023,Quebec,Canada,3700
Air,10/1/2023,Middle Atlantic,United States,900
Air,10/1/2023,New England (inc Maine),United States,1200
Air,10/1/2023,Western Canada,Canada,21900
Air,9/1/2023,Other Overseas,Overseas,1700
Air,9/1/2023,Other Europe,Overseas,2700
Air,9/1/2023,Germany,Overseas,4400
Air,9/1/2023,United Kingdom,Overseas,6100
Air,9/1/2023,Pacific,United States,1600
Air,9/1/2023,Mountain,United States,600
Air,9/1/2023,West South Central,United States,800
Air,9/1/2023,East South Central,United States,300
Air,9/1/2023,South Atlantic,United States,2000
Air,9/1/2023,West North Central,United States,800
Air,9/1/2023,East North Central,United States,900
Air,9/1/2023,Middle Atlantic,United States,1200
Air,9/1/2023,New England (inc Maine),United States,1200
Air,9/1/2023,Western Canada,Canada,23900
Air,9/1/2023,Ontario,Canada,40000
Air,9/1/2023,Quebec,Canada,4300
Air,9/1/2023,Atlantic Canada,Canada,3600
Air,8/1/2023,Other Overseas,Overseas,7600
Air,8/1/2023,Other Europe,Overseas,2400
Air,8/1/2023,Germany,Overseas,4800
Air,8/1/2023,United Kingdom,Overseas,2600
Air,8/1/2023,Pacific,United States,2500
Air,8/1/2023,Mountain,United States,300
Air,8/1/2023,West South Central,United States,1000
Air,8/1/2023,East South Central,United States,100
Air,8/1/2023,South Atlantic,United States,1800
Air,8/1/2023,West North Central,United States,1000
Air,8/1/2023,East North Central,United States,2600
Air,8/1/2023,Middle Atlantic,United States,2400
Air,8/1/2023,New England (inc Maine),United States,2100
Air,8/1/2023,Western Canada,Canada,33700
Air,8/1/2023,Ontario,Canada,55000
Air,8/1/2023,Quebec,Canada,3100
Air,8/1/2023,Atlantic Canada,Canada,3900
Air,7/1/2023,Quebec,Canada,2000
Air,7/1/2023,Atlantic Canada,Canada,4000
Air,7/1/2023,Other Overseas,Overseas,5300
Air,7/1/2023,Other Europe,Overseas,3000
Air,7/1/2023,Germany,Overseas,1700
