"Visits, nights and spending for visitors to Canada by geography of visit, residency and mode of transport 1 2 3"
"Frequency: Quarterly"
"Table: 24-10-0066-01"
"Release date: 2026-02-24"
"Geography: Canada, Province or territory"
""
""

,,"Geography of visit","Nova Scotia",,,,,,,,,,,,,,,,,,,,,,,,,,
"Area of residence","Mode of transport to enter Canada","Visit statistics","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025"
"Non-resident visitors to Canada","Entries via commercial air",,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Nights  (x 1,000)","664C","834B","2,682C","667C","298D","..","..","..","..","..","..","..","..","..","..","..","282D","1,103C","1,787C","712D","230D","1,125C","1,440B","884D","169C,p","597B,p","1,421B,p"
,,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Expenditures 4 5  (x 1,000)","44,349C","109,140C","207,041B","53,203C","16,104D","..","..","..","..","..","..","..","..","..","..","..","25,992C","89,825C","226,453B","60,111C","29,435C","136,338C","227,217B","87,219D","27,470C,p","112,201B,p","245,046B,p"
,,,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Nights per visit 6 7","17.0C","8.8B","16.5C","10.0C","17.4D","..","..","..","..","..","..","..","..","..","..","..","8.2D","13.7C","13.0C","15.6C","6.2D","10.7C","8.5B","13.6D","5.2C,p","6.4B,p","8.7B,p"
,,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Expenditures per visit 4 6","1,134C","1,159B","1,274B","797B","942C","..","..","..","..","..","..","..","..","..","..","..","754C","1,115B","1,647B","1,318C","791C","1,291C","1,339B","1,340D","850B,p","1,194B,p","1,505B,p"
,,"Expenditures per night 4","67B","131B","77B","80C","54C","..","..","..","..","..","..","..","..","..","..","..","92D","81C","127B","84C","128C","121C","158B","99C","163C,p","188B,p","173B,p"
"United States of America residents 8",,,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Nights  (x 1,000)","122D","213C","632C","116C","31D","..","..","..","..","..","..","..","..","..","..","..","97E","321D","552C","218D","129E","305D","629C","110C","74D,p","213C,p","560D,p"
,,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Expenditures 4 5  (x 1,000)","11,884D","42,109C","103,804B","27,600C","3,256D","..","..","..","..","..","..","..","..","..","..","..","10,635E","40,805D","107,283C","23,510D","14,751D","61,684E","133,258C","16,444D","14,980C,p","50,497C,p","136,411B,p"
,,,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Nights per visit 6 7","6.0C","5.0B","8.3C","3.8B","5.5C","..","..","..","..","..","..","..","..","..","..","..","9.9E","8.9C","7.5B","8.8C","10.4E","7.3C","7.0B","5.3B","4.8C,p","5.7B,p","7.2D,p"
,,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Expenditures per visit 4 6","586D","995B","1,366B","897B","575C","..","..","..","..","..","..","..","..","..","..","..","1,083D","1,133C","1,460B","949C","1,188C","1,487D","1,486B","783C","974B,p","1,361B,p","1,755B,p"
,,"Expenditures per night 4","97D","198B","164C","238B","105D","..","..","..","..","..","..","..","..","..","..","..","109E","127D","194C","108D","115E","202C","212B","149C","203D,p","237C,p","244D,p"
"Residents of countries other than the United States of America 9",,,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Nights  (x 1,000)","541C","620C","2,050C","551D","267E","..","..","..","..","..","..","..","..","..","..","..","185E","782D","1,235C","494D","101C","820C","811C","774E","95C,p","384B,p","861B,p"
,,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Expenditures 4 5  (x 1,000)","32,465C","67,031D","103,237B","25,603C","12,848D","..","..","..","..","..","..","..","..","..","..","..","15,357C","49,019C","119,170C","36,601D","14,685C","74,654C","93,960C","70,775E","12,490C,p","61,704B,p","108,635B,p"
,,,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Nights per visit 6 7","28.7C","12.0B","23.7C","15.3C","23.4D","..","..","..","..","..","..","..","..","..","..","..","7.5E","17.6C","19.3C","23.7D","4.1C","12.8C","10.1C","17.5E","5.6C,p","6.8B,p","10.1B,p"
,,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Expenditures per visit 4 6","1,722C","1,293C","1,193B","711C","1,124C","..","..","..","..","..","..","..","..","..","..","..","623C","1,102C","1,861B","1,757D","592C","1,165B","1,174C","1,605E","738C,p","1,085B,p","1,277B,p"
,,"Expenditures per night 4","60B","108C","50B","46D","48C","..","..","..","..","..","..","..","..","..","..","..","83E","63C","96C","74C","145C","91C","116B","91D","132C,p","161C,p","126B,p"

Symbol legend:
.., not available for a specific reference period
p, preliminary
E, use with caution
B, data quality: very good
C, data quality: good
D, data quality: acceptable




Footnotes:
1,"Comparisons of historical Visitor Travel Survey (VTS) results and current VTS results must be done with caution due to the use of different methods to produce estimates. Data from 2018 to the first quarter of 2020 were produced using a combination of the Air Exit Survey (AES), record imputation and invitation cards. Data from the second quarter of 2020 to the fourth quarter of 2022 were produced using a model based on 2019 VTS estimates adjusted with Frontier Counts benchmarks, and alternate data. Starting with the first quarter of 2023, data are produced for visitors entering Canada by air using the AES and for visitors entering Canada by modes other than commercial air using a model based on historical visitor survey data from 2013 to 2019. This data is adjusted using Frontier Counts and by comparing historical AES results with current AES results."
2,"Quality indicators can only be calculated using survey data and are therefore available for the time periods prior to the pandemic (Q1 2020 and earlier) for all modes of entry and for the time periods starting in Q1 2023 for entry by air commercial only. Between Q2 2020 and Q4 2022, no data quality indicators could be produced since there was no collection. Estimates based on fewer than five Visitor Travel Survey records (for Q1 2020 and earlier) or fewer than five Air Exit Survey records (for Q1 2023 onward) were suppressed from this table and replaced with a quality indicator of F, and estimates based on between five and nine records were assigned a data quality indicator of E. For Q1 2023 onward, if an air commercial estimate was suppressed, the non-air commercial and total estimates for the same domain were also suppressed."
3,"For travellers entering Canada via commercial air, tourism region (TR) estimates are produced directly from the Air Exit Survey and estimates for all statistics are produced. For travellers entering Canada via modes other than commercial air, only total expenditures are produced. This is done by allocating the provincial estimates for travellers entering Canada via modes other than commercial air to the TRs using historical TR distributions from the Visitor Travel Survey that have been adjusted using trends from payment processor data. For estimates that combine all travellers (entries via commercial air and via other modes), only total expenditures are produced for the TRs. All TR-level estimates are only available starting in 2023."
8,"Starting with the release of the second quarter 2024, the methodology for modelling visits and expenditures at the provincial/territorial level for US same-day trips where travelers entered Canada via a mode other than commercial air has been improved to better reflect the expected location where these travelers were visiting. The impacted final estimates have been revised starting with the first quarter of 2023. Estimates that focus on trips by residents of countries other than the United States of America or with entries to Canada via commercial air were unaffected."
9,"Non-resident visitors residing in a country other than the United States of America are also referred to as overseas visitors."
4,"Expenditures do not include commercial fares to travel between countries."
5,"For 2018 and 2019, total spending differs from total spending reported by category because U.S.-resident excursionists (same-day travellers) entering Canada by car were only asked for their total spending."
6,"Within the same trip, visits to the same geography are only counted once. For example, a trip with a visit of one night to Ontario, followed by a visit of two nights to Alberta, and then a visit of five nights to Ontario are counted as two separate visits: one visit to Ontario with six nights and one visit to Alberta with two nights."
7,"The calculation of nights per visit includes same-day visits (zero nights)."



"How to cite: Statistics Canada. Table 24-10-0066-01  Visits, nights and spending for visitors to Canada by geography of visit, residency and mode of transport (x 1,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2410006601